batch_size,input_token_length,output_token_length,prefill_time,decode_time
1,10,50,1.0860068798065186,2.688472270965576
1,32,16,1.137058973312378,1.2450623512268066
1,32,32,0.05993938446044922,1.9492573738098145
1,32,64,0.09467887878417969,3.911818265914917
1,32,128,0.060270071029663086,7.835392236709595
1,32,256,0.06122589111328125,15.674044609069824
1,32,512,0.05984044075012207,31.24598002433777
1,32,1024,0.05946660041809082,61.77348971366882
1,16,32,0.09521293640136719,2.0197324752807617
1,32,32,0.06317520141601562,1.8966410160064697
1,64,32,0.14713358879089355,1.9558477401733398
1,128,32,0.13310694694519043,2.0623867511749268
1,128,32,1.1308796405792236,2.1103017330169678
1,128,32,1.0994675159454346,2.1325297355651855
